"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMELK002","Cluster_PF_SAGE","mem.usage.average","%","359","33,0112","39,51","41,94","43,5","18,44","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","TG002VMELK002","Cluster_PF_SAGE","net.usage.average","KBps","359","39779,0947","57439","68729","81247","12382","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a4a","Cluster_DWH","cpu.ready.summation","millisecond","11","29850","31433","31433","31433","28011","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a4a","Cluster_DWH","cpu.usage.average","%","11","0,2655","0,31","0,31","0,31","0,25","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a4a","Cluster_DWH","cpu.usagemhz.average","MHz","11","5,0909","6","6","6","5","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a4a","Cluster_DWH","mem.consumed.average","KB","11","133028,6364","133120","133120","133120","132238","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a4a","Cluster_DWH","mem.usage.average","%","11","8,2973","10,57","10,57","10,57","7,76","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a4a","Cluster_DWH","mem.vmmemctl.average","KB","11","0","0","0","0","0","28/08/2026 00:00:00","07/09/2026 00:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","cpu.ready.summation","millisecond","359","1069,6657","1388","1790","1908","734","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","cpu.usage.average","%","359","0,1647","0,19","0,22","0,24","0,15","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","cpu.usagemhz.average","MHz","359","3,9944","5","5","6","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","disk.usage.average","KBps","359","6,3816","10","12","18","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","mem.consumed.average","KB","359","130086,454","130102","130129","130186","129719","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","mem.usage.average","%","359","18,1744","18,93","19,39","22,87","16,72","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-04757a9e-23cb-4fb2-8d9b-8c26ad6b6fa1","Cluster_PF_BSS","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","cpu.ready.summation","millisecond","359","1769,5125","2019","2064","2134","1520","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","cpu.usage.average","%","359","0,2787","0,54","0,56","0,58","0,25","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","cpu.usagemhz.average","MHz","359","5,4596","11","12","12","5","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","disk.usage.average","KBps","359","8,2201","14","17","18","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","mem.consumed.average","KB","359","130378,4457","131072","131072","131072","128730","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","mem.usage.average","%","359","18,2342","19,05","19,32","23,14","16,55","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-41345927-7db0-4d86-a7b8-cc46f9719c7b","Cluster_ESS","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","cpu.ready.summation","millisecond","359","1390,7855","1657","1784","1857","937","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","cpu.usage.average","%","359","0,235","0,28","0,29","0,29","0,21","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","cpu.usagemhz.average","MHz","359","4,3482","5","6","6","4","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","disk.usage.average","KBps","359","7,0111","10","12","31","3","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","mem.consumed.average","KB","359","129563,4485","130114","130118","130124","127015","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","mem.usage.average","%","359","18,1387","18,9","19,22","22,05","16,19","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-0d36e8de-65ce-4fe1-ae9c-da873fb090ef","Cluster_SAGE","mem.vmmemctl.average","KB","359","0","0","0","0","0","09/08/2026 22:00:00","08/09/2026 18:00:00"
"VM","vCLS-38393638-3435-5a43-4a38-323130325a47","Cluster_DWH","cpu.ready.summation","millisecond","11","24315,8182","32361","32361","32361","18425","28/08/2026 00:00:00","07/09/2026 00:00:00"
