"Datastore","Type","CapacityGB","FreeSpaceGB","UsedSpaceGB","UsedPercent","Accessible","HostCount","VMCount","Hosts"
"DS-OS-WAB-2","VMFS","1023,75","234,10","789,65","77,13","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_PBI","VMFS","2047,75","1192,00","855,75","41,79","True","6","0","10.80.18.118;10.80.18.117;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CDRS","VMFS","2047,75","969,40","1078,35","52,66","True","10","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_BI-3","VMFS","8191,75","3069,96","5121,79","62,52","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_STB_FZ_DATA_02","VMFS","1023,75","1018,07","5,68","0,55","True","4","0","10.80.18.70;10.80.18.75;10.80.18.18;10.80.18.19"
"DS_OS_DBSQL-2","VMFS","2047,75","1930,70","117,05","5,72","True","12","1","10.80.18.70;10.80.18.75;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_IA-1","VMFS","2047,75","2037,31","10,44","0,51","True","8","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_DATA_DBS_1","VMFS","2047,5","326,78","1720,72","84,04","True","11","4","10.80.18.70;10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_CTX_00-1","VMFS","2047,75","1699,60","348,15","17,00","True","4","0","10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115"
"DS_DATA_SAGE_V12","VMFS","5119,75","4663,24","456,51","8,92","True","10","2","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_XFILES_003","VMFS","13311,75","2607,12","10704,63","80,41","True","8","1","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_LYN_01","VMFS","499,75","412,96","86,79","17,37","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_FMC_170","VMFS","349,75","348,34","1,41","0,40","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_DATA_MX-02","VMFS","20479,75","20441,85","37,90","0,19","True","3","2","10.80.18.18;10.80.18.19;10.80.18.115"
"DS_SRM","VMFS","1023,75","443,63","580,12","56,67","True","10","0","10.80.18.118;10.80.18.117;10.80.18.10;10.80.18.5;10.80.18.18;10.80.18.19;10.80.18.116;10.80.18.115;10.80.18.24;10.80.18.23"
"DS_OS_SELFCARE","VMFS","399,75","202,30","197,45","49,39","True","2","4","10.80.18.10;10.80.18.5"
