"EntityType","EntityName","Cluster","Metric","Unit","Samples","Average","P95","P99","Maximum","Minimum","FirstSample","LastSample"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","69,7095","72","73","78","66","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","1,148","3","3","3","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","33429951,9916","33433584","33433584","33433584","33247842","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,1289","1,24","1,28","1,36","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMSMC225","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","1","1","1","1","1","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","24868,0726","26135","26783","27334","22470","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,2411","0,25","0,26","0,27","0,24","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","79,6927","81","87","87","78","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","disk.usage.average","KBps","358","49,9469","59","170","171","43","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","mem.consumed.average","KB","358","66979724,2291","66985976","66985976","66985976","66427744","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","mem.usage.average","%","358","1,0301","1,09","1,13","1,16","0,99","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","mem.vmmemctl.average","KB","358","0","0","0","0","0","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMMTR227","CLUSTER_PF_FLOOZ_PROD","net.usage.average","KBps","358","5","5","5","5","5","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","cpu.ready.summation","millisecond","358","13336,4469","14213","14759","14833","11871","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","cpu.usage.average","%","358","0,3303","0,34","0,34","0,34","0,32","10/08/2026 00:00:00","08/09/2026 18:00:00"
"VM","TG002VMPPP001","CLUSTER_PF_FLOOZ_PROD","cpu.usagemhz.average","MHz","358","35,7207","36","37","37","34","10/08/2026 00:00:00","08/09/2026 18:00:00"
